# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-29
#
# GRDC-No.:              6348400
# River:                 PO, FIUME
# Station:               PIACENZA
# Country:               --
# Latitude (DD):       45.016666
# Longitude (DD):      9.666667
# Catchment area (km²):      
# Altitude (m ASL):        42.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1924 - 1985
# No. of years:          62
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 744
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1952-08-01;--:--;    519.000;   -999.000;   0
1952-09-01;--:--;    666.000;   -999.000;   0
1952-10-01;--:--;    675.000;   -999.000;   0
1952-11-01;--:--;    532.000;   -999.000;   0
1952-12-01;--:--;    485.000;   -999.000;   0
1953-01-01;--:--;    444.000;   -999.000;   0
1953-02-01;--:--;    410.000;   -999.000;   0
1953-03-01;--:--;    428.000;   -999.000;   0
1953-04-01;--:--;    426.000;   -999.000;   0
1953-05-01;--:--;    438.000;   -999.000;   0
1953-06-01;--:--;   1120.000;   -999.000;   0
1953-07-01;--:--;   1030.000;   -999.000;   0
1953-08-01;--:--;    436.000;   -999.000;   0
1953-09-01;--:--;    690.000;   -999.000;   0
1953-10-01;--:--;   2530.000;   -999.000;   0
1953-11-01;--:--;   1410.000;   -999.000;   0
1953-12-01;--:--;    715.000;   -999.000;   0
1954-01-01;--:--;    579.000;   -999.000;   0
1954-02-01;--:--;    715.000;   -999.000;   0
1954-03-01;--:--;   1100.000;   -999.000;   0
1954-04-01;--:--;    958.000;   -999.000;   0
1954-05-01;--:--;   1540.000;   -999.000;   0
1954-06-01;--:--;   1500.000;   -999.000;   0
1954-07-01;--:--;    689.000;   -999.000;   0
1954-08-01;--:--;    964.000;   -999.000;   0
1954-09-01;--:--;    777.000;   -999.000;   0
1954-10-01;--:--;    507.000;   -999.000;   0
1954-11-01;--:--;    540.000;   -999.000;   0
1954-12-01;--:--;   1170.000;   -999.000;   0
1955-01-01;--:--;    966.000;   -999.000;   0
1955-02-01;--:--;    992.000;   -999.000;   0
1955-03-01;--:--;    953.000;   -999.000;   0
1955-04-01;--:--;    588.000;   -999.000;   0
1955-05-01;--:--;    390.000;   -999.000;   0
1955-06-01;--:--;   1010.000;   -999.000;   0
1955-07-01;--:--;    576.000;   -999.000;   0
1955-08-01;--:--;    385.000;   -999.000;   0
1955-09-01;--:--;    589.000;   -999.000;   0
1955-10-01;--:--;    571.000;   -999.000;   0
1955-11-01;--:--;    519.000;   -999.000;   0
1955-12-01;--:--;    482.000;   -999.000;   0
1956-01-01;--:--;    528.000;   -999.000;   0
1956-02-01;--:--;    394.000;   -999.000;   0
1956-03-01;--:--;   1140.000;   -999.000;   0
1956-04-01;--:--;   1720.000;   -999.000;   0
1956-05-01;--:--;    986.000;   -999.000;   0
1956-06-01;--:--;    852.000;   -999.000;   0
1956-07-01;--:--;    949.000;   -999.000;   0
1956-08-01;--:--;    472.000;   -999.000;   0
1956-09-01;--:--;   1350.000;   -999.000;   0
1956-10-01;--:--;    812.000;   -999.000;   0
1956-11-01;--:--;    803.000;   -999.000;   0
1956-12-01;--:--;    460.000;   -999.000;   0
1957-01-01;--:--;    466.000;   -999.000;   0
1957-02-01;--:--;    671.000;   -999.000;   0
